Iteration,Payee_ns,Bank_ns
1180,2682320,9884176
1181,2658267,9938442
1182,2693785,10058490
1183,2647498,9970147
1184,2636588,10025591
1185,2696385,10046668
1186,2606732,10135161
1187,2627993,10103429
1188,2620312,10012402
1189,2625794,10100753
1190,2635341,10120770
1191,2738245,10145653
1192,2686326,10212007
1193,2659713,10220942
1194,2698128,10258849
1195,2683033,10357757
1196,2605423,10171300
1197,2680620,10065223
1198,2678000,10071407
1199,2605000,10140368
1200,2676989,9982339
1201,2634764,9838109
1202,2659886,10322938
1203,2633850,17190284
1204,2654114,9779610
1205,2656909,9960153
1206,2744550,13333741
1207,2612338,11708718
1208,2649765,13850964
1209,2712399,9799018
1210,2634836,10111033
1211,2711960,9897054
1212,2623039,10113005
1213,2625906,10259950
1214,2674457,10168281
1215,2742512,11338575
1216,2646729,15097438
1217,2591031,11070312
1218,2687744,9883435
1219,2676284,9938691
1220,2641437,9861243
1221,2684990,9765137
1222,2628590,9880505
1223,2689402,10029053
1224,2657504,10073210
1225,2651897,10854953
1226,2843116,10125523
1227,2682985,10009919
1228,2670218,10726235
1229,2656928,9914413
1230,2678114,11751593
1231,2668027,10889190
1232,2689494,10008167
1233,2657486,10079174
1234,2676902,10011307
1235,2705096,12599684
1236,2668882,10174506
1237,2667960,9819857
1238,2626920,9927032
1239,2695926,10014657
1240,2675797,10209745
1241,2710189,10169957
1242,2654864,10067417
1243,2685724,10187709
1244,2679796,10042614
1245,2634850,10136540
1246,2652354,9931324
1247,2613977,9924943
1248,2698963,10092413
1249,2641934,10380770
1250,2722247,10282751
1251,2615107,10138771
1252,2651731,10282077
1253,2732507,9957707
1254,2611736,18608639
1255,2677993,9922464
1256,2636850,10002264
1257,2644022,9994203
1258,2678329,10157069
1259,2623736,10294169
1260,2652704,10173879
1261,2643215,9970560
1262,2669239,9988932
1263,2620094,10143504
1264,2650242,9959050
1265,2790505,10090976
1266,2617783,10012226
1267,2689697,10142996
1268,2699690,10088132
1269,2672041,9932831
1270,2670343,10111892
1271,2637789,10123212
1272,2689604,10237677
1273,2589624,9848021
1274,2612278,9908482
1275,2673532,9802726
1276,2669084,10080542
1277,2638944,9738866
1278,2671290,9956061
1279,2669855,9853630
1280,2668466,9845595
1281,2775639,10097921
1282,2664248,10032438
1283,2623006,9984277
1284,2672267,10026764
1285,2602043,9896224
1286,2733148,9824819
1287,2635575,9965015
1288,2650332,10025568
1289,2685416,10800382
1290,2658588,10139630
1291,2671456,9932958
1292,2636869,10125844
1293,2653442,10252031
1294,2659695,10007104
1295,2684429,10054736
1296,2665273,9883931
1297,2671603,10193486
1298,2699197,10212230
1299,2710474,10218124
1300,2640156,10082557
1301,2678006,10156530
1302,2715103,10556355
1303,2712242,11785875
1304,2651220,10120619
1305,2693120,10209187
1306,2661674,10333112
1307,2640679,10224117
1308,2663020,9926393
1309,2664690,12127450
1310,2662594,10409804
1311,2594688,10275841
1312,2719350,9849451
1313,2644260,9893097
1314,2690417,9830440
1315,2690468,9876301
1316,2713291,9909063
1317,2647131,9989953
1318,2636399,9844308
1319,2708408,9836011
1320,2696184,9853325
1321,2632236,9980314
1322,2670229,9804810
1323,2671256,9945163
1324,2629609,10267733
1325,2691442,10205756
1326,2687591,10206395
1327,2651187,10158814
1328,2680468,10143252
1329,2688728,10240695
1330,2634056,10249756
1331,2612148,10059385
1332,2667168,12896592
1333,2745847,10131998
1334,2623477,10181609
1335,2684275,10082129
1336,2707544,10097033
1337,2648863,10094693
1338,2604314,10314317
1339,2702419,10287917
1340,2712585,10036245
1341,2664378,10077155
1342,2667229,10115057
1343,2724510,10254197
1344,2619203,10290923
1345,2623369,10167548
1346,2661686,10272503
1347,2642322,14659532
1348,2650102,10295274
1349,2662183,11304485
1350,2694971,10083901
1351,2704999,9920000
1352,2624909,9809213
