Iteration,Payee1_ns,Payer_ns,Payee2_ns
825,2086684,5535288,3467507
826,2025180,5413715,3332570
827,2083924,5419863,3333051
828,2017097,5575251,3345613
829,2036413,5400071,3328924
830,2055036,5433446,3308043
831,2035550,5422525,3312445
832,2080609,5477715,3366069
833,2027293,5385794,3515587
834,2049870,5426279,3369207
835,2078765,5469690,3388812
836,2087422,5616797,3568435
837,2039880,5669339,3414118
838,2059771,5455016,3920974
839,2084024,5496738,3306643
840,2112792,5448593,3370988
841,2067723,5461721,3360491
842,2059147,5366657,3391416
843,2105804,5388107,3415734
844,2059386,5563998,3367761
845,2026928,5512240,3399847
846,2031736,5653704,3465299
847,2096651,5496775,3399234
848,2084337,5557147,3367859
849,2079205,5446682,3304888
850,2074862,5430681,3388452
851,2037370,5594189,3374147
852,2096546,5409838,3407379
853,2095382,5596342,3525492
854,2144161,5621072,3663986
855,2242642,5428940,3413889
856,2149782,5613111,3408685
857,2074513,5525783,3428349
858,2045837,5633381,3398085
859,2075296,5438949,3462980
860,2037465,5436053,3318855
861,2031331,5546608,3434469
862,2073589,5721572,3712317
863,2087629,5410492,3721634
864,2093889,5409002,3327802
865,2067365,5403590,3469372
866,2038181,5450196,3377422
867,2046914,5693286,3382485
868,2060825,5513491,3462949
869,2288065,5503774,3398038
870,2046070,5495317,3328034
871,2051177,5507892,3384030
872,2050340,5428711,3385690
873,2019518,5412318,3363665
874,2056467,5425629,3374874
875,2073722,5438251,3500124
876,2123497,5724485,3465655
877,2057792,5435818,3336582
878,2052608,5599958,3362950
879,2057075,5442289,3359860
880,2042803,5496971,3359726
881,2329955,5582911,3532271
882,2054901,5385860,3374905
883,2035661,5332866,3376229
884,2042462,5412525,3394364
885,2051151,5385151,3299031
886,2029500,5380592,3338507
887,2047553,5451261,3345483
888,2090801,5550357,3342975
889,2009782,5654381,3369348
890,2061725,5636288,3480726
891,2065252,5535262,3329205
892,2058798,5443620,3332963
893,2053317,5415055,3322756
894,2034431,5501371,3326510
895,2047690,5386620,3359527
896,2037495,5457407,3391754
897,2146655,5526815,3402366
898,2087538,5470157,3338495
899,2063204,5554725,3424819
900,2040145,5442037,3354093
901,2058498,5441368,3371360
902,2054908,5509944,3336207
903,2080321,5519650,3336809
904,2042706,5391708,3432748
905,2052716,5398402,3351526
906,2025627,5392005,3397064
907,2051977,5556740,3339380
908,2022556,5439575,3510115
909,2022512,5466757,3364372
910,2110623,5473498,3414724
911,2209214,5431580,3312442
912,2043668,5389040,3669793
913,2095069,5554237,3392054
914,2291396,5529255,3461567
915,2041573,5579874,3402110
916,2122001,5500322,3397533
917,2004457,5510653,3534828
918,2094036,5410874,3408612
919,2032742,5482347,3335812
920,2041235,5524792,3411676
921,2032211,5503229,3391482
922,2056367,5382720,3319499
923,2045310,5660902,3444191
924,2181513,5452837,3396379
925,2050771,5354266,3474611
926,2059288,5526313,3466872
927,2121391,5444044,3356282
928,2027702,5823461,3385669
929,2064540,5535099,3326814
930,2042255,5546639,3413929
931,2062494,5444992,3355440
932,2046114,5454208,3388946
933,2012266,5576155,3344140
934,2088040,5426300,3381332
935,2353954,5453198,3360285
936,2012205,5355142,3373920
937,2034633,5430854,3355671
938,2090428,5432130,3358923
939,2061796,5334870,3372180
940,2024744,5584607,3439342
941,2039776,5679197,3351048
942,2078588,5470154,3438958
943,2141727,5547442,3392616
944,2093698,5528823,3385365
945,2072634,5452232,3467098
946,2028554,5334985,3436939
947,2095461,5477023,3410909
948,2035237,5492580,3372805
949,2069474,5690140,3361108
950,2030111,5493109,3613752
951,2039286,5412260,3322662
952,2212220,5590934,3425588
953,2070685,5634703,3374261
954,2029591,5477956,3401697
955,2126243,5534957,3362112
956,2102423,5428972,3426545
957,2035994,5823919,3385084
958,2056987,5411652,3486731
959,2075248,5400297,3311391
960,2260135,5431729,3310850
961,2023480,5453138,3420600
962,2036826,5384837,3352814
963,2083544,5431431,3383518
964,2045768,5447489,3383958
965,2042062,5593521,3362223
966,2084138,5723188,3433774
967,2092887,5593196,3458483
968,2091466,5448613,3373616
969,2013671,5379901,3349633
970,2058391,5532225,3436808
971,2060082,5481174,3441858
972,2056602,5442180,3382121
973,2064452,5476237,3334837
974,2188125,5493232,3508216
975,2081541,5431572,3325157
976,2339778,5441454,3422280
977,2065433,5571117,3328112
978,2038686,5472640,3384374
979,2058505,5401995,3343519
980,2050159,5446887,3361733
981,2042420,5456143,3384744
982,2038909,5380803,3358767
983,2037095,5495243,3313932
984,2061801,5424494,3302441
985,2036606,5499543,3352085
986,2042513,5523445,3584599
